Rank,Name,marketcap,country
1,Reliance Industries,2.39141E+11,India
2,Tata Consultancy Services,1.6607E+11,India
3,HDFC Bank,1.53786E+11,India
4,Bharti Airtel,1.02296E+11,India
5,ICICI Bank,93117431808,India
6,State Bank of India,89686400463,India
7,Life Insurance Corporation of India (LIC),80425814114,India
8,Infosys,73820676096,India
9,Hindustan Unilever,69777545676,India
10,ITC,64448977273,India
11,Larsen &amp; Toubro,60604496225,India
12,Bajaj Finance,54323989800,India
13,Maruti Suzuki India,48314027727,India
14,HCL Technologies,46410824937,India
15,Adani Enterprises,44650261903,India
16,Axis Bank,43732356125,India
17,Tata Motors,43549852325,India
18,Sun Pharmaceutical,43528581456,India
19,NTPC Limited,42788985576,India
20,Mahindra &amp; Mahindra,41946450747,India
21,Hindustan Aeronautics,41548168176,India
22,Oil &amp; Natural Gas,41518544034,India
23,Kotak Mahindra Bank,40969268433,India
24,UltraTech Cement,38823597834,India
25,Titan Company,37507974531,India
26,Adani Ports & SEZ,36982707136,India
27,DMart,36842763907,India
28,Coal India,35976563040,India
29,Powergrid Corporation of India,35806662920,India
30,Adani Power,34461986801,India
31,Adani Green Energy,34238322489,India
32,Asian Paints,33516067264,India
33,Hindustan Zinc,33500807864,India
34,Bajaj Auto,33287769570,India
35,Siemens India,33203872694,India
36,Bajaj Finserv,30314503347,India
37,Wipro,29856278528,India
38,Nestlé India,29302944221,India
39,Indian Oil,28713173608,India
40,Indian Railway Finance,27362972588,India
41,Tata Steel,27341475700,India
42,Jio Financial Services,27236612454,India
43,Bharat Electronics,27109244653,India
44,JSW Steel,26813518055,India
45,DLF,26003085725,India
46,Varun Beverages,25539522997,India
47,ABB India,22921617772,India
48,Trent Limited,22402151523,India
49,Power Finance Corp,20114850403,India
50,Grasim Industries,20058450896,India
51,Ambuja Cements,19868245196,India
52,Vedanta,19847840732,India
53,InterGlobe Aviation,19742718506,India
54,Zomato,19369619752,India
55,Pidilite,18938539360,India
56,Lodha Group,18524253411,India
57,Hindalco Industries,18271503321,India
58,LTIMindtree,17823404037,India
59,Bank of Baroda,17710983291,India
60,SBI Life Insurance,17634461844,India
61,GAIL,17463627828,India
62,Tata Power,17161349827,India
63,Godrej,17043992771,India
64,Punjab National Bank,16976411618,India
65,Rural Electrification Corp,16743783469,India
66,Bharat Petroleum,16275637584,India
67,Eicher Motors,16173302921,India
68,Tech Mahindra,16060324976,India
69,Britannia Industries,15551947768,India
70,HDFC Life,15369665278,India
71,Indian Overseas Bank,15211012726,India
72,Cipla,15148463628,India
73,Cholamandalam Investment and Finance,14812416240,India
74,Divis Laboratories,14575553380,India
75,Samvardhana Motherson,14333401055,India
76,JSW Energy,14213997274,India
77,TVS Motor,14201749887,India
78,IndusInd Bank,13973635833,India
79,Hero MotoCorp,13862269840,India
80,Havells India,13802531850,India
81,Vodafone Idea,13647635289,India
82,Adani Energy Solutions,13605002517,India
83,Union Bank of India,13564306599,India
84,Zydus Lifesciences,13380974064,India
85,Canara Bank,13132174592,India
86,Dabur,12924950785,India
87,Polycab India,12742016137,India
88,Tata Consumer Products,12696022122,India
89,Cummins India,12686217777,India
90,Jindal Steel &amp; Power,12628207103,India
91,CG Power and Industrial Solutions,12588394855,India
92,Adani Total Gas,12458929319,India
93,NHPC Limited,12323491553,India
94,Shriram Transport Finance,12294745588,India
95,Dr. Reddy's,12132086784,India
96,Shree Cement,11864034046,India
97,Torrent Pharmaceuticals,11603903034,India
98,BOSCH India,11405194167,India
